Row,smith09_01,smith09_02,smith09_03,smith09_04,smith09_05,smith09_06,smith09_07,smith09_08,smith09_09,smith09_10
melodicIC_001,-0.01,0.16,0.56,-0.01,-0.02,0.11,-0.11,-0.02,-0.03,-0.04
melodicIC_002,-0.05,-0.05,0.08,-0.01,0,0.01,-0.11,-0.06,0.08,0.01
melodicIC_003,-0.04,-0.03,0.1,-0.22,-0.02,-0.01,-0.04,-0.05,0.14,0.46
melodicIC_004,0.78,0.11,0.02,-0.04,-0.03,-0.04,-0.02,0.02,-0.02,-0.05
melodicIC_005,0.01,0.01,-0.05,0.1,-0.05,-0.02,0.03,-0.06,0,0.4
melodicIC_006,0,-0.1,0.16,0.15,-0.12,-0.18,0.25,-0.06,0.24,-0.14
melodicIC_007,0,0.04,-0.11,0,-0.08,-0.01,-0.07,0.02,0.56,0.04
melodicIC_008,0.02,-0.06,0.06,-0.06,0.07,0.23,0.44,0.06,0.21,-0.1
melodicIC_009,-0.07,0.7,0.16,0,-0.02,0.02,0,0.03,0.01,0
melodicIC_010,0.18,-0.07,0.04,0.49,0.03,0.06,-0.06,0.19,0.05,0.12
melodicIC_011,0.05,0.02,0.01,0.01,-0.01,0.07,0.15,-0.05,-0.08,0.28
melodicIC_012,-0.01,0.01,0.07,0.06,0.01,0.35,0.02,-0.05,-0,0.1
melodicIC_013,-0.05,-0.12,0.04,-0.03,-0.14,0.03,-0.16,-0.04,-0.08,-0.09
melodicIC_014,-0.09,0,-0.05,0.5,0.09,-0,-0.15,-0.03,-0.03,0.03
melodicIC_015,0.02,0.05,-0.13,-0.2,0.02,0.14,-0.09,0.52,0.08,0.11
melodicIC_016,-0.02,-0.11,0.07,0.01,-0.04,-0.03,0.34,0.04,-0.16,0.16
melodicIC_017,-0.13,-0.07,0.01,0.07,-0.04,-0.08,-0.05,0.38,-0.02,-0.12
melodicIC_018,0,0.02,0.02,0.01,-0.03,0.24,0.16,0.03,-0.02,0.02
melodicIC_019,0.05,-0.01,-0.11,-0.05,-0.05,0.31,-0.04,-0.05,-0.11,-0.11
melodicIC_020,-0,-0.01,-0.02,-0.03,-0.12,-0.12,0.04,0.06,-0.05,0.15
melodicIC_021,-0,0.01,0.11,-0.05,-0.02,-0.08,-0,-0.01,-0.03,0.01
melodicIC_022,0.07,-0.03,0.17,-0.06,0.32,-0.08,-0.08,0.01,-0.04,0.01
melodicIC_023,-0.12,0.03,-0.05,0.03,-0.06,0.04,0.15,-0.04,-0.06,0.02
melodicIC_024,-0.08,0.03,0.04,0.02,0,0.03,0.07,-0.03,0.22,-0.09
melodicIC_025,0.01,0.09,-0.06,0,0.12,0,0.07,0.06,0.02,-0.03
